Stock_symbol	count
	9804627
GILD	12376
NVDA	11862
QQQ	11813
BABA	11625
WFC	11301
INTC	11157
MRK	10774
TSLA	10587
KO	10521
BROGW	10456
BPYPO	9979
GOOG	9930
DIS	9654
BHFAL	9614
MU	9605
T	9463
MS	9458
AAPL	9338
AMD	9209
PMAY	9108
CLSN	9106
ACGLO	9014
DNOV	8990
GSEE	8966
QCOM	8954
FDEV	8891
OCFCP	8832
PFFL	8822
CMCSA	8820
BRK	8797
FDX	8744
MSFT	8737
GS	8730
HCRB	8722
FFEB	8718
UEVM	8715
BSMR	8708
UCIB	8699
WLDR	8698
KJUL	8693
CVX	8688
WMT	8686
WTRE	8680
GDMA	8680
GE	8680
ARTLW	8677
FSMB	8662
CGRO	8640
HVT-A	8630
UFEB	8603
UOCT	8591
GTN-A	8583
ESGRO	8575
WINC	8555
BH-A	8541
AGM-A	8507
GRP-U	8466
AFGD	8399
EAOA	8341
GLD	8338
INBKZ	8312
GECCM	8268
GME	8235
CRD-A	8208
AKO-A	8191
BCDAW	8161
HCXY	8137
WSO-B	8054
ORCL	7998
AMT	7912
QVCD	7775
GAINL	7741
PPHI	7723
PBR-A	7693
OXY	7691
ESEB	7669
DJCB	7635
UCBIO	7621
CRM	7593
FITBO	7555
CAT	7514
HTLFP	7491
EAOR	7458
FFIU	7428
SBUX	7408
SLB	7394
XOM	7346
BRLIU	7270
C	7250
SPY	7225
AAL	7209
EBAY	7178
CMG	7174
CEFD	7156
NKE	7129
PEP	7113
EA	7107
YGYIP	7063
TXN	7041
WBA	7014
DISH	7008
V	6983
COP	6929
CIG-C	6919
HDMV	6911
EAOM	6906
NEWTL	6901
DHCNL	6900
WDC	6843
HAL	6840
ARGD	6821
KSS	6818
AKO-B	6815
COST	6781
GSID	6737
NEE	6710
XLF	6700
OPINL	6683
BHP	6683
BIDU	6622
ADBE	6570
PBR	6523
BIIB	6453
ABBV	6451
TSM	6422
TJX	6400
SLV	6379
PANW	6361
AEO	6360
XLE	6333
OXSQZ	6238
PYPL	6222
OXLCM	6200
CSX	6170
CI	6135
BA	6075
BX	6045
TSN	5994
DUK	5991
MMM	5946
SOHOO	5908
NVS	5803
GRPN	5686
NOK	5678
XLK	5649
TM	5646
D	5631
ALK	5630
GSK	5527
HUM	5469
ULTA	5447
EWJ	5440
USO	5431
FSLR	5426
TRV	5390
VRTX	5320
DPZ	5308
BSX	5258
AMGN	5258
PXD	5222
NYMTN	5208
THY	5183
AIG	5163
ANF	5135
SPWR	5128
KR	5127
EOG	5126
FL	5108
PCG	5083
DCOMP	5067
AMZN	5060
AMC	5057
SIRI	5029
CAG	5017
PAVMZ	4976
HELX	4967
DE	4961
DLTR	4956
XLU	4950
NVAX	4931
TMO	4930
DHR	4897
NIO	4883
MDT	4847
ENB	4837
DHI	4800
NTAP	4786
USB	4756
XLY	4752
DFS	4752
DOW	4745
SNAP	4740
NSC	4731
NEM	4711
MT	4672
EBR-B	4661
KMB	4655
TMUS	4620
HPQ	4600
KEY	4591
NOC	4563
EW	4563
HAS	4539
BAX	4502
COF	4497
AA	4478
XLP	4464
HD	4453
EEM	4450
MYL	4446
OXSQL	4443
AMAT	4438
JWN	4432
DB	4430
SO	4410
CLX	4409
CME	4389
ACN	4387
GPRO	4337
FCAU	4334
KKR	4329
ADI	4307
FCX	4296
NDAQ	4255
UNG	4249
BBY	4236
CF	4236
SYK	4208
ALB	4175
CSIQ	4162
RL	4160
AVGO	4156
URBN	4152
FOXA	4150
ANET	4143
CL	4142
CLF	4139
HOG	4135
MRVL	4118
VMW	4104
TWX	4099
BUD	4079
WEN	4078
GIS	4067
KERNW	4064
ABT	4055
DKS	4053
DAL	4045
MNST	4028
ALGN	4017
TRIP	4000
RRC	3994
BLK	3989
TAP	3988
EL	3966
PGR	3964
DVN	3958
MRO	3947
MOS	3939
MCK	3933
GOLD	3921
X	3912
PRU	3891
NTES	3889
YHOO	3882
TSCO	3874
PLUG	3854
ICE	3842
XOP	3838
WDAY	3836
BEN	3830
UPS	3828
DRI	3828
AMTD	3823
AXP	3790
REGN	3756
GDX	3742
VWO	3729
NWSA	3716
LEN	3694
HP	3687
PM	3685
AIR	3682
SU	3682
AAP	3674
GMCR	3669
INCY	3653
TRP	3641
ED	3637
GXC	3634
PVH	3620
SYY	3608
EPD	3608
ZUMZ	3601
TEVA	3598
PSA	3575
WSM	3567
CP	3566
VLO	3552
PAYX	3552
XRT	3551
CPB	3548
LLY	3545
NOW	3541
ASML	3520
BTU	3520
STZ	3510
PRGO	3510
UA	3508
M	3504
HCA	3498
ORLY	3492
VNQ	3478
HSBC	3477
UBS	3477
PGJ	3459
USD	3454
RSP	3447
RAD	3435
AFL	3420
CTSH	3418
MKC	3414
DECK	3412
TIF	3399
JD	3394
NOV	3393
BIG	3377
EWI	3371
WFM	3371
BURL	3360
W	3346
WHR	3339
CGC	3333
VTR	3323
APO	3321
GRMN	3320
DD	3317
KGC	3307
BK	3306
EXPE	3291
MCO	3286
BHI	3279
BNTX	3251
